location,latitude,longitude,accident_count,peak_hour_start,peak_hour_end,road_type,common_cause,weather_risk,fatality_rate
Walajah NH48 Stretch,12.9432,79.3543,46,1,5,highway,fatigue,normal,0.28
Arcot Bypass,12.9012,79.3321,32,18,22,urban,overspeeding,rain,0.18
Sholinghur Pilgrim Road,13.1123,79.4321,26,20,2,highway,drunk_driving,fog,0.24
Nemili Village Intersection,12.9876,79.5123,14,7,10,rural,overtaking,normal,0.12
Arakkonam Highway Crossing,13.0811,79.6622,35,17,21,urban,signal_jumping,rain,0.15
Kaveripakkam Rural Route,12.8955,79.4611,18,6,9,rural,overspeeding,fog,0.14
Melvisharam NH48,12.9244,79.2688,41,21,3,highway,fatigue,normal,0.25
Timiri Junction,12.7522,79.2855,22,18,22,urban,overtaking,normal,0.16
Kalavai Village Road,12.7788,79.4111,12,8,11,rural,drunk_driving,rain,0.1
Ammoor Intersection,12.8111,79.3522,19,19,23,urban,signal_jumping,fog,0.12
Omalur NH44 Junction,11.7321,78.0654,42,22,3,highway,fatigue,normal,0.26
Mallur Highway Stretch,11.5432,78.1345,35,18,21,urban,signal_jumping,rain,0.16
Yercaud Ghat Bend 11,11.7876,78.2012,28,15,18,rural,overspeeding,fog,0.35
Sankari Bypass,11.4876,77.8765,30,19,23,highway,overtaking,normal,0.18
Konganapuram Pirivu,11.5811,77.9122,25,17,20,urban,signal_jumping,rain,0.15
Attur Highway Curve,11.5955,78.5911,38,21,2,highway,overspeeding,fog,0.22
Edappadi Rural Road,11.5844,77.8288,16,6,9,rural,drunk_driving,normal,0.12
Mettur Dam Approach,11.8022,77.8055,29,18,22,highway,fatigue,rain,0.2
Valapady Intersection,11.6588,78.3811,21,7,10,urban,overtaking,normal,0.14
Nangavalli Junction,11.7511,77.8822,18,19,23,rural,overspeeding,fog,0.16
Kalayarkoil Village Road,9.8432,78.6321,16,6,9,rural,drunk_driving,fog,0.15
Karaikudi Bypass,10.0654,78.7876,32,18,22,urban,overspeeding,rain,0.18
Tirupathur Highway,10.1234,78.6012,25,19,23,highway,fatigue,normal,0.2
Manamadurai Junction,9.7012,78.4765,29,17,20,urban,signal_jumping,normal,0.14
Sakkandhi Melur Road,9.8711,78.4622,22,20,1,highway,overspeeding,fog,0.18
Devakottai Rural Route,9.9455,78.8211,18,7,10,rural,overtaking,rain,0.12
Singampunari Intersection,10.1544,78.4388,20,18,21,urban,signal_jumping,normal,0.15
Ilayangudi Bypass,9.6322,78.6255,26,19,23,highway,fatigue,normal,0.2
Sivagangai SH34 Stretch,9.8488,78.4811,35,21,2,highway,overspeeding,rain,0.22
Thirupuvanam Crossing,9.8511,78.2822,24,17,20,urban,overtaking,fog,0.16
Shengottai Ghat Road,8.9765,77.2456,33,16,19,highway,overspeeding,fog,0.38
Courtallam Waterfall Route,8.9345,77.2765,40,15,18,urban,drunk_driving,rain,0.25
Kadayanallur Highway,9.0765,77.3456,26,18,22,highway,fatigue,normal,0.18
Alangulam Junction,8.8765,77.5012,22,7,10,rural,signal_jumping,normal,0.14
Sankarankovil Bypass,9.1711,77.5322,30,19,23,highway,overspeeding,rain,0.2
Puliyangudi Rural Road,9.1755,77.3911,15,6,9,rural,overtaking,fog,0.15
Tenkasi NH208 Stretch,8.9544,77.3188,45,21,3,highway,fatigue,normal,0.28
Surandai Intersection,9.0022,77.4055,20,17,20,urban,signal_jumping,rain,0.14
Veerakeralampudur Route,8.9688,77.4511,14,8,11,rural,overspeeding,normal,0.12
Keezhapavur Village Crossing,8.9111,77.4022,18,18,22,rural,drunk_driving,fog,0.16
Kumbakonam SH64 Stretch,10.9543,79.3765,37,18,22,highway,overspeeding,rain,0.22
Pattukkottai Highway,10.4321,79.3123,28,19,23,urban,signal_jumping,normal,0.16
Orathanadu Rural Road,10.6321,79.2456,15,6,9,rural,overtaking,fog,0.14
Thiruvaiyaru Pilgrim Route,10.8765,79.1012,25,20,1,highway,fatigue,normal,0.2
Peravurani Intersection,10.3011,79.1622,20,17,20,urban,signal_jumping,rain,0.15
Thanjavur Trichy NH81,10.7855,79.1311,48,22,3,highway,fatigue,fog,0.28
Papanasam Village Route,10.9244,79.2788,18,7,10,rural,overspeeding,normal,0.12
Adirampattinam Coastal Link,10.3322,79.3755,26,18,21,highway,overtaking,rain,0.2
Thiruvidaimarudur Curve,11.0088,79.4511,32,19,22,urban,overspeeding,fog,0.22
Sethubhavachatram Road,10.2611,79.3022,16,8,11,rural,drunk_driving,normal,0.14
Kumily Ghat Section,9.6012,77.1654,39,15,19,highway,overspeeding,fog,0.42
Bodi Highway Crossing,10.0123,77.3456,26,18,21,urban,signal_jumping,rain,0.18
Periyakulam Bypass,10.1234,77.5432,30,19,23,highway,fatigue,normal,0.2
Cumbum Village Road,9.7321,77.2876,16,7,10,rural,drunk_driving,fog,0.15
Andipatti Intersection,9.9911,77.6222,24,17,20,urban,overtaking,normal,0.16
Uthamapalayam Rural Route,9.8155,77.3211,18,6,9,rural,overspeeding,rain,0.14
Theni NH220 Stretch,10.0144,77.4788,41,20,2,highway,fatigue,fog,0.25
Chinnamanur Junction,9.8322,77.3855,22,18,22,urban,signal_jumping,normal,0.15
Bodinayakkanur Ghat Road,10.0188,77.3511,34,16,19,highway,overspeeding,rain,0.35
Megamalai Hill Route,9.7011,77.4022,28,14,17,rural,fatigue,fog,0.38
Tiruchendur Pilgrim Route,8.4987,78.1234,43,20,2,highway,fatigue,fog,0.3
Kovilpatti Bypass,9.1765,77.8765,35,18,22,urban,overspeeding,rain,0.22
Vilathikulam Rural Road,9.1345,78.1654,14,6,9,rural,overtaking,normal,0.12
Ettayapuram Intersection,9.1543,78.0012,22,17,20,rural,signal_jumping,normal,0.14
Pudukottai NH7A Stretch,8.7611,78.0222,40,21,3,highway,fatigue,fog,0.28
Srivaikuntam Highway,8.6355,77.9111,28,19,23,highway,overspeeding,normal,0.2
Kayathar NH44 Corridor,8.9444,77.7288,46,22,4,highway,fatigue,rain,0.26
Thoothukudi Port Truck Route,8.7522,78.1655,50,0,5,urban,overspeeding,fog,0.25
Arumuganeri Coastal Road,8.5688,78.1111,26,18,22,highway,drunk_driving,normal,0.18
Sathankulam Village Crossing,8.4411,77.9122,16,7,10,rural,overtaking,rain,0.15
Kudamurutti NH81 Stretch,10.8432,78.6876,46,2,6,highway,fatigue,fog,0.32
Pettavaithalai Highway,10.8765,78.4543,38,18,22,highway,overspeeding,rain,0.26
Thuvakudi NH38 Junction,10.7654,78.8012,41,19,23,urban,signal_jumping,normal,0.2
Manapparai Industrial Route,10.6012,78.4123,29,21,1,highway,overtaking,normal,0.18
Maravanur NH83 Stretch,10.6911,78.5022,44,20,2,highway,fatigue,fog,0.3
Lalgudi Rural Road,10.8755,78.8211,18,7,10,rural,drunk_driving,rain,0.15
Musiri Intersection,10.9344,78.4488,25,17,20,urban,signal_jumping,normal,0.16
Thuraiyur Bypass,11.1422,78.5955,32,18,22,highway,overspeeding,normal,0.2
Srirangam Pilgrim Route,10.8588,78.6911,36,19,23,urban,fatigue,fog,0.18
No 1 Tollgate Chokkalingapuram,10.8811,78.6822,48,22,4,highway,overspeeding,rain,0.28
Nanguneri Ghat Road,8.4765,77.6543,33,16,19,highway,overspeeding,fog,0.35
Valliyur NH44 Bypass,8.3765,77.6123,40,23,3,highway,fatigue,normal,0.28
Ambasamudram Highway,8.7012,77.4543,27,18,21,urban,signal_jumping,rain,0.16
Radhapuram Junction,8.2654,77.6765,18,7,10,rural,overtaking,normal,0.12
Palayamkottai Urban Stretch,8.7111,77.7422,35,17,20,urban,overspeeding,fog,0.15
Cheranmahadevi Rural Route,8.6855,77.5611,20,6,9,rural,drunk_driving,normal,0.14
Kalakkad Village Road,8.5244,77.5488,15,8,11,rural,overtaking,rain,0.12
Ponnakudi NH7 Crossing,8.6422,77.7355,42,20,2,highway,fatigue,fog,0.26
Thalaiyuthu Bazzar Route,8.7888,77.7111,30,18,22,urban,signal_jumping,normal,0.18
Kurichikulam Villakku,8.7511,77.7022,24,19,23,rural,overspeeding,fog,0.22
Vaniyambadi NH48 Stretch,12.6841,78.6134,42,2,6,highway,fatigue,normal,0.22
Ambur Highway Curve,12.7852,78.7183,38,23,4,highway,overspeeding,rain,0.18
Jolarpettai Bypass,12.5634,78.5678,25,18,21,urban,signal_jumping,normal,0.14
Natrampalli Village Road,12.5012,78.5021,15,7,10,rural,overtaking,fog,0.12
Tirupattur Town Intersection,12.4911,78.5622,30,17,20,urban,overspeeding,normal,0.15
Alangayam Rural Route,12.6055,78.7511,18,6,9,rural,drunk_driving,rain,0.14
Kandili Ghat Section,12.4544,78.6088,28,15,19,highway,fatigue,fog,0.35
Madhanur Highway Stretch,12.8622,79.0355,35,19,23,highway,overspeeding,normal,0.2
Vengalapuram Junction,12.5188,78.5311,22,8,11,urban,signal_jumping,rain,0.16
Pachur Village Crossing,12.4411,78.5122,14,7,10,rural,overtaking,fog,0.12
Avinashi NH544 Stretch,11.1923,77.2734,48,1,5,highway,fatigue,normal,0.28
Palladam Highway Junction,10.9984,77.2891,35,17,21,urban,signal_jumping,rain,0.16
Udumalpet Ghat Route,10.5843,77.2456,22,6,10,rural,overspeeding,fog,0.32
Kangeyam Bypass,11.0021,77.5623,19,19,23,highway,overtaking,normal,0.15
Dharapuram Intersection,10.7311,77.5222,28,18,22,urban,overspeeding,fog,0.18
Vellakovil Rural Road,10.9355,77.7111,16,7,10,rural,drunk_driving,normal,0.14
Mulanur Village Crossing,10.7644,77.7188,14,8,11,rural,overtaking,rain,0.12
Madathukulam NH83,10.5622,77.3555,42,21,2,highway,fatigue,fog,0.26
Uthukuli Highway Curve,11.1788,77.4611,25,18,21,highway,overspeeding,normal,0.2
Pongalur Junction,10.9611,77.4322,20,17,20,urban,signal_jumping,fog,0.15
Red Hills GNTR Junction,13.1892,80.1983,50,20,1,highway,overspeeding,rain,0.25
Madhavaram Interchange,13.1487,80.2314,40,18,22,highway,overtaking,normal,0.18
Ponneri Rural Route,13.3214,80.1956,18,6,9,rural,drunk_driving,fog,0.2
Gummidipoondi Intersection,13.4011,80.1222,28,17,21,urban,signal_jumping,rain,0.15
Tiruttani Highway,13.1855,79.6311,35,19,23,highway,fatigue,normal,0.22
Uthukkottai Bypass,13.3344,79.9088,25,18,22,highway,overspeeding,fog,0.18
Janappachathram Junction,13.2322,80.1555,30,8,11,urban,signal_jumping,normal,0.16
Poonamallee NH48,13.0488,80.1011,48,22,4,highway,fatigue,rain,0.26
Vellavedu Bazaar,13.0711,80.0322,22,17,20,urban,overspeeding,normal,0.14
Arambakkam NH16 Stretch,13.5411,80.0522,41,21,2,highway,overtaking,fog,0.25
Chengam Ghat Road,12.3012,78.7983,28,21,2,highway,overspeeding,fog,0.35
Polur Highway Crossing,12.5098,79.1234,22,17,20,urban,signal_jumping,normal,0.14
Vandavasi Bypass,12.4987,79.6012,16,19,23,highway,overtaking,rain,0.18
Arani Village Intersection,12.6734,79.2876,14,8,11,rural,drunk_driving,normal,0.25
Kadagaman SH9 Stretch,12.3511,79.4322,30,18,22,highway,fatigue,fog,0.2
Sananthal Amman Temple Route,12.2555,79.0511,18,7,10,rural,overspeeding,normal,0.15
Vadavanakkambadi Bus Stop,12.4544,79.5288,25,19,23,urban,signal_jumping,rain,0.16
Cheyyar Government Depot,12.6522,79.5455,35,17,21,urban,overtaking,normal,0.18
Kalasapakkam Rural Road,12.7588,79.4011,15,6,9,rural,drunk_driving,fog,0.14
Thandarampet Junction,12.3811,78.9622,20,8,11,rural,overspeeding,normal,0.12
Mannargudi Highway,10.6654,79.4421,24,18,21,urban,overspeeding,rain,0.16
Thiruthuraipoondi Coastal Route,10.5342,79.6453,19,20,2,highway,fatigue,fog,0.28
Nannilam Rural Road,10.8765,79.6123,12,7,10,rural,overtaking,normal,0.12
Peralam Junction,10.9432,79.6781,15,17,20,urban,signal_jumping,normal,0.1
Valangaiman Intersection,10.8711,79.4022,20,18,22,urban,overspeeding,fog,0.14
Needamangalam Village Crossing,10.7755,79.4111,18,6,9,rural,drunk_driving,rain,0.15
Koothanallur Highway Curve,10.8144,79.5188,25,19,23,highway,fatigue,normal,0.18
Muthupettai Coastal Road,10.4022,79.4855,30,21,2,highway,overspeeding,fog,0.25
Kodavasal Rural Route,10.8788,79.4811,14,8,11,rural,overtaking,normal,0.12
Pandaravadai MDR Junction,10.8611,79.2522,22,17,20,rural,signal_jumping,rain,0.16
Pallikonda NH48 Stretch,12.9123,78.9456,45,23,4,highway,fatigue,normal,0.26
Katpadi Highway Crossing,12.9876,79.1345,33,8,11,urban,signal_jumping,rain,0.14
Gudiyattam Bypass,12.9453,78.8765,26,19,23,highway,overspeeding,normal,0.18
KV Kuppam Village Road,12.9987,79.0321,14,6,9,rural,drunk_driving,fog,0.22
Anaicut Intersection,12.8711,78.9822,20,18,21,rural,overtaking,normal,0.15
Pernambut Ghat Route,12.7855,78.7111,28,15,18,highway,overspeeding,fog,0.35
Vellore Ussoor Road,12.9044,79.0588,38,17,20,urban,signal_jumping,rain,0.18
Kaniyambadi Highway,12.7922,79.1355,24,19,22,highway,fatigue,normal,0.2
Sathuvachari NH Route,12.9388,79.1611,40,21,3,highway,overspeeding,fog,0.25
Bagayam Rural Crossing,12.8711,79.1222,18,7,10,rural,overtaking,normal,0.14
Vikravandi NH45 Stretch,12.0345,79.5432,49,1,6,highway,fatigue,normal,0.3
Tindivanam Roundabout,12.2345,79.6543,41,18,22,highway,overspeeding,rain,0.2
Gingee Bypass,12.2543,79.4123,23,19,23,urban,overtaking,normal,0.15
Marakkanam Coastal Road,12.1987,79.9456,18,20,1,rural,drunk_driving,fog,0.25
Vanur ECR Intersection,12.0211,79.7322,30,17,21,highway,signal_jumping,normal,0.18
Melmalayanur Highway Curve,12.3555,79.0711,26,18,22,highway,overspeeding,rain,0.22
Kandamangalam Village Road,11.9144,79.6688,15,7,10,rural,overtaking,fog,0.14
Vikkiravandi Kumbakonam NH,11.9822,79.5355,44,22,3,highway,fatigue,normal,0.28
Thiruvennainallur Route,11.8788,79.2811,20,19,23,rural,overspeeding,rain,0.16
Mailam Pilgrim Road,12.1411,79.6122,35,8,11,highway,drunk_driving,fog,0.25
Sattur NH44 Stretch,9.3654,77.9234,44,2,6,highway,fatigue,normal,0.28
Aruppukottai Highway,9.5123,78.1023,29,18,21,urban,signal_jumping,rain,0.16
Rajapalayam Bypass,9.4567,77.5543,31,19,23,highway,overspeeding,normal,0.18
Srivilliputhur Rural Intersection,9.5087,77.6321,17,7,10,rural,overtaking,fog,0.14
Kooraikundu NH44 Area,9.5511,77.9422,48,23,4,highway,fatigue,rain,0.3
Pandalkudi Village Road,9.3855,78.1211,15,6,9,rural,drunk_driving,normal,0.12
Virudhunagar NH44 Corridor,9.5844,77.9588,40,21,3,highway,overspeeding,fog,0.26
Kariapatti Junction,9.6122,78.0955,24,17,20,urban,signal_jumping,normal,0.15
Watrap Highway Curve,9.6388,77.6411,26,18,22,highway,overtaking,rain,0.2
Tiruchuli Rural Route,9.6211,78.1822,18,8,11,rural,overspeeding,fog,0.14
Kolli Hills Hairpin Bend 1,11.2311,78.3322,25,14,17,rural,overspeeding,fog,0.32
Kolli Hills Hairpin Bend 10,11.2422,78.3388,28,15,18,rural,overtaking,rain,0.35
Kolli Hills Hairpin Bend 20,11.2533,78.3411,30,16,19,rural,fatigue,fog,0.38
Kolli Hills Hairpin Bend 40,11.2711,78.3488,35,14,18,rural,overspeeding,normal,0.4
Kolli Hills Hairpin Bend 50,11.2788,78.3511,38,15,19,rural,drunk_driving,rain,0.42
Kalhatty Ghat Bend 5,11.4511,76.6711,26,16,19,highway,overspeeding,fog,0.34
Kalhatty Ghat Bend 10,11.4555,76.6733,30,15,18,highway,fatigue,rain,0.36
Kalhatty Ghat Bend 25,11.4722,76.6811,35,14,17,highway,overtaking,fog,0.4
Kalhatty Ghat Bend 30,11.4811,76.6855,40,16,19,highway,overspeeding,normal,0.44
Yercaud Ghat Bend 2,11.7511,78.1811,20,17,20,rural,overspeeding,fog,0.28
Yercaud Ghat Bend 5,11.7655,78.1888,24,16,19,rural,overtaking,rain,0.3
Yercaud Ghat Bend 15,11.7922,78.2055,30,15,18,rural,fatigue,fog,0.36
Kodaikanal Palani Ghat Bend 5,10.3511,77.5311,22,14,17,highway,overspeeding,normal,0.3
Kodaikanal Palani Ghat Bend 10,10.3055,77.5255,26,15,18,highway,fatigue,rain,0.35
Kodaikanal Palani Ghat Bend 20,10.2411,77.5088,32,16,19,highway,overtaking,fog,0.4
Sirumalai Hairpin Bend 5,10.2211,78.0122,18,17,20,rural,overspeeding,normal,0.28
Sirumalai Hairpin Bend 18,10.1855,77.9888,26,15,18,rural,fatigue,rain,0.35
Valparai Hairpin Bend 20,10.3411,76.9611,32,16,19,rural,overspeeding,fog,0.42
Valparai Hairpin Bend 30,10.3555,76.9722,35,15,18,rural,overtaking,rain,0.45
Megamalai Hairpin Bend,9.7155,77.4111,28,14,17,rural,fatigue,fog,0.38
Kovalam ECR Stretch,12.7811,80.2455,35,21,2,highway,overspeeding,normal,0.25
Palavakkam ECR Cattle Zone,12.9655,80.2588,40,19,23,urban,fatigue,fog,0.28
Kottivakkam ECR Congestion,12.9722,80.2611,38,18,22,urban,signal_jumping,rain,0.22
Neelankarai ECR Uneven Road,12.9511,80.2555,42,20,3,highway,overspeeding,normal,0.3
Akkarai ECR Widening Zone,12.9155,80.2422,36,17,21,urban,overtaking,fog,0.24
Vettuvankani ECR Potholes,12.9355,80.2488,34,19,23,highway,fatigue,rain,0.26
Kanathur ECR Stretch,12.8511,80.2311,30,22,4,highway,drunk_driving,normal,0.25
Uthandi ECR Corridor,12.8755,80.2355,28,21,2,highway,overspeeding,fog,0.22
Injambakkam ECR Junction,12.9111,80.2411,32,18,22,urban,signal_jumping,normal,0.2
Kudankulam Coastal Route,8.1655,77.7122,25,19,23,rural,overspeeding,rain,0.18
Manapad Coastal Curve,8.3755,78.0555,20,17,20,rural,drunk_driving,fog,0.16
Thondi Coast Road,9.7411,79.0222,28,18,22,highway,fatigue,normal,0.22
Ammapattinam ECR Route,9.9255,79.1611,22,19,23,rural,overspeeding,rain,0.18
Manamelkudi ECR Junction,10.0211,79.2222,26,20,1,highway,signal_jumping,fog,0.2
Velankanni Coast ECR,10.6855,79.8488,40,21,3,highway,fatigue,normal,0.3
